Wings					                1927/1928 	Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B.P. Schulberg, & Adolph Zukor, producers)
7th Heaven 				                1927/1928	Fox (William Fox, producer)
The Broadway Melody 	                1927/1928	Metro-Goldwyn-Mayer (Irving Thalberg & Lawrence Weingarten, producers)
Alibi					                1927/1928	Feature Productions (Roland West, producer)
The Hollywood Revue		                1927/1928	Metro-Goldwyn-Mayer (Irving Thalberg & Harry Rapf, producers)
In Old Arizona			                1927/1928	Fox (Winfield Sheehan, producer)
The Patriot				                1927/1928	Paramount Famous Lasky
All Quiet on the Western Front		    1929/1930	Universal (Carl Laemmle Jr., producer)
The Big House				            1929/1930	Cosmopolitan (Irving Thalberg, producer)
Disraeli				                1929/1930	Warner Bros. (Jack L. Warner & Darryl F. Zanuck, producers)
The Divorcee				            1929/1930	Metro-Goldwyn-Mayer (Robert Z. Leonard, producer)
The Love Parade	Paramount Famous Lasky 	1929/1930	(Ernst Lubitsch, producer)
Cimarron				                1930/1931	RKO Radio (William LeBaron, producer)
East Lynne				                1930/1931	Fox
Skippy					                1930/1931	Paramount Publix (Jesse L. Lasky, B.P. Schulberg, & Adolph Zukor, producers)
Trader Horn				                1930/1931	Metro-Goldwyn-Mayer (Irving Thalberg, producer)
Grand Hotel				                1931/1932	Metro-Goldwyn-Mayer (Irving Thalberg, producer)
Arrowsmith				                1931/1932	Samuel Goldwyn Productions (Samuel Goldwyn, producer)
Bad Girl				                1931/1932	Fox
The Champ				                1931/1932	Metro-Goldwyn-Mayer (King Vidor, producer)
Five Star Final			                1931/1932	First National (Hal B. Wallis, producer)
One Hour with You		                1931/1932	Paramount Publix (Ernst Lubitsch, producer)
Shanghai Express		                1931/1932	Paramount Publix (Adolph Zukor, producer)
The Smiling Lieutenant	                1931/1932	Paramount Publix (Ernst Lubitsch, producer)
Cavalcade				                1932/1933	Fox (Frank Lloyd & Winfield Sheehan, producers)
42nd Street				                1932/1933	Warner Bros.
A Farewell to Arms			1932/1933	Paramount
I Am a Fugitive from a Chain Gang	1932/1933	Warner Bros.
Lady for a Day				1932/1933	Columbia
Little Women				1932/1933	RKO Radio
The Private Life of Henry VIII		1932/1933	London Films
She Done Him Wrong			1932/1933	Paramount
Smilin' Through				1932/1933	Metro-Goldwyn-Mayer
State Fair				1932/1933	Fox
It Happened One Night			1934		Columbia (Frank Capra & Harry Cohn, producer)
The Barretts of Wimpole Street		1934		Metro-Goldwyn-Mayer
Cleopatra				1934		Paramount
Flirtation Walk				1934		First National
The Gay Divorcee			1934		RKO Radio
Here Comes the Navy			1934		Warner Bros.
Imitation of Life			1934		Universal
One Night of Love			1934		Columbia
The Thin Man				1934		Metro-Goldwyn-Mayer
Viva Villa!				1934		Metro-Goldwyn-Mayer
The White Parade			1934		Jesse L. Lasky (production company)
Mutiny on the Bounty			1935		Metro-Goldwyn-Mayer (Frank Lloyd & Irving Thalberg, producers)
Alice Adams				1935		RKO Radio
Broadway Melody of 1936			1935		Metro-Goldwyn-Mayer
Captain Blood				1935		Cosmopolitan
David Copperfield			1935		Metro-Goldwyn-Mayer
The Informer				1935		RKO Radio
The Lives of a Bengal Lancer		1935		Paramount
A Midsummer Night's Dream		1935		Warner Bros.
Les Misérables				1935		20th Century
Naughty Marietta			1935		Metro-Goldwyn-Mayer
Ruggles of Red Gap			1935		Paramount
Top Hat					1935		RKO Radio
The Great Ziegfeld			1936		Metro-Goldwyn-Mayer (Hunt Stromberg, producer)
Anthony Adverse				1936		Warner Bros.
Dodsworth				1936		Samuel Goldwyn Productions (Samuel Goldwyn, producer)
Libeled Lady				1936		Metro-Goldwyn-Mayer
Mr. Deeds Goes to Town			1936		Columbia
Romeo and Juliet			1936		Metro-Goldwyn-Mayer
San Francisco				1936		Metro-Goldwyn-Mayer
The Story of Louis Pasteur		1936		Cosmopolitan
A Tale of Two Cities			1936		Metro-Goldwyn-Mayer
Three Smart Girls			1936		Universal
The Life of Emile Zola			1937		Warner Bros. (Henry Blanke, producer)
The Awful Truth				1937		Columbia
Captains Courageous			1937		Metro-Goldwyn-Mayer
Dead End				1937		Samuel Goldwyn Productions (Samuel Goldwyn, producer)
The Good Earth				1937		Metro-Goldwyn-Mayer
In Old Chicago				1937		20th Century-Fox
One Hundred Men and a Girl		1937		Universal
Stage Door				1937		RKO Radio
A Star Is Born				1937		Selznick International Pictures
You Can't Take It with You		1938		Columbia (Frank Capra, producer)
The Adventures of Robin Hood		1938		Warner Bros.-First National
Alexander's Ragtime Band		1938		20th Century-Fox
Boys Town				1938		Metro-Goldwyn-Mayer
The Citadel				1938		Metro-Goldwyn-Mayer
Four Daughters				1938		Warner Bros.-First National
Grand Illusion				1938		Réalisation d'art Cinématographique
Jezebel					1938		Warner Bros.
Pygmalion				1938		Metro-Goldwyn-Mayer
Test Pilot				1938		Metro-Goldwyn-Mayer
Gone with the Wind			1939		Selznick International Pictures (David O. Selznick, producer)
Dark Victory				1939		Warner Bros.-First National
Goodbye, Mr. Chips			1939		Metro-Goldwyn-Mayer
Love Affair				1939		RKO Radio
Mr. Smith Goes to Washington		1939		Columbia
Ninotchka				1939		Metro-Goldwyn-Mayer
Of Mice and Men				1939		Hal Roach (production company)
Stagecoach				1939		Walter Wanger (production company)
The Wizard of Oz			1939		Metro-Goldwyn-Mayer
Wuthering Heights			1939		Samuel Goldwyn Productions
Rebecca					1940		Selznick International Pictures (David O. Selznick, producer)
All This, and Heaven Too		1940		Warner Bros.
The Grapes of Wrath			1940		20th Century-Fox
The Great Dictator			1940		Charles Chaplin Productions
Kitty Foyle				1940		RKO Radio
The Letter				1940		Warner Bros.
The Long Voyage Home			1940		Argosy-Wanger
Our Town				1940		Sol Lesser (production company)
The Philadelphia Story			1940		Metro-Goldwyn-Mayer
How Green Was My Valley			1941		20th Century-Fox (Darryl F. Zanuck, producer)
Blossoms in the Dust			1941		Metro-Goldwyn-Mayer
Citizen Kane				1941		Mercury
Here Comes Mr. Jordan			1941		Columbia
Hold Back the Dawn			1941		Paramount
The Little Foxes			1941		Samuel Goldwyn Productions (Samuel Goldwyn, producer)
The Maltese Falcon			1941		Warner Bros.
One Foot in Heaven			1941		Warner Bros.
Sergeant York				1941		Warner Bros.
Suspicion				1941		RKO Radio
Mrs. Miniver				1942		Metro-Goldwyn-Mayer (Sidney Franklin, producer)
49th Parallel				1942		Ortus
Kings Row				1942		Warner Bros.
The Magnificent Ambersons		1942		Mercury
The Pied Piper				1942		20th Century-Fox
The Pride of the Yankees		1942		Samuel Goldwyn Productions (Samuel Goldwyn, producer)
Random Harvest				1942		Metro-Goldwyn-Mayer
The Talk of the Town			1942		Columbia
Yankee Doodle Dandy			1942		Warner Bros.
Casablanca				1943		Warner Bros. (Hal B. Wallis, producer)
For Whom the Bell Tolls			1943		Paramount
Heaven Can Wait				1943		20th Century-Fox
The Human Comedy			1943		Metro-Goldwyn-Mayer
In Which We Serve			1943		Two Cities Films
Madame Curie				1943		Metro-Goldwyn-Mayer
The More the Merrier			1943		Columbia
The Ox-Bow Incident			1943		20th Century-Fox
The Song of Bernadette			1943		20th Century-Fox
Watch on the Rhine			1943		Warner Bros.
Going My Way				1944		Paramount (Leo McCarey, producer)
Gaslight				1944		Metro-Goldwyn-Mayer
Since You Went Away			1944		Selznick International Pictures (David O. Selznick, producer)
Wilson					1944		20th Century-Fox
The Lost Weekend			1945		Paramount (Charles Brackett, producer)
Anchors Aweigh				1945		Metro-Goldwyn-Mayer
The Bells of St. Mary's			1945		Rainbow Productions
Mildred Pierce				1945		Warner Bros.
Spellbound				1945		Selznick International Pictures (David O. Selznick, producer)
The Best Years of Our Lives		1946		Samuel Goldwyn Productions (Samuel Goldwyn, producer)
Henry V					1946		Two Cities Films
It's a Wonderful Life			1946		Liberty Films
The Razor's Edge			1946		20th Century-Fox
The Yearling				1946		Metro-Goldwyn-Mayer
Gentleman's Agreement			1947		20th Century-Fox (Darryl F. Zanuck, producer)
The Bishop's Wife			1947		Samuel Goldwyn Productions (Samuel Goldwyn, producer)
Crossfire				1947		RKO Radio
Great Expectations			1947		J. Arthur Rank-Cineguild
Miracle on 34th Street			1947		20th Century-Fox
Hamlet					1948		J. Arthur Rank-Two Cities Films (Laurence Olivier, producer)
Johnny Belinda				1948		Warner Bros.
The Red Shoes				1948		J. Arthur Rank-Archers
The Snake Pit				1948		20th Century-Fox
The Treasure of the Sierra Madre	1948		Warner Bros.
All the King's Men			1949		Columbia (Robert Rossen, producer)
Battleground				1949		Metro-Goldwyn-Mayer
The Heiress				1949		Paramount
A Letter to Three Wives			1949		20th Century-Fox
Twelve O'Clock High			1949		20th Century-Fox
All About Eve				1950		20th Century-Fox (Darryl F. Zanuck, producer)
Born Yesterday				1950		Columbia
Father of the Bride			1950		Metro-Goldwyn-Mayer
King Solomon's Mines			1950		Metro-Goldwyn-Mayer
Sunset Boulevard			1950		Paramount
An American in Paris			1951		Arthur Freed
Decision Before Dawn			1951		Anatole Litvak and Frank McCarthy
A Place in the Sun			1951		George Stevens
Quo Vadis				1951		Sam Zimbalist
A Streetcar Named Desire		1951		Charles K. Feldman
The Greatest Show on Earth		1952		Cecil B. DeMille
High Noon				1952		Stanley Kramer
Ivanhoe					1952		Pandro S. Berman
Moulin Rouge				1952		John and James Woolf
The Quiet Man				1952		John Ford and Merian C. Cooper
From Here to Eternity			1953		Buddy Adler
Julius Caesar				1953		John Houseman
The Robe				1953		Frank Ross
Roman Holiday				1953		William Wyler
Shane					1953		George Stevens
On the Waterfront			1954		Sam Spiegel
The Caine Mutiny			1954		Stanley Kramer
Seven Brides for Seven Brothers		1954		Jack Cummings
Three Coins in the Fountain		1954		Sol C. Siegel
Marty					1955		Harold Hecht
Love Is a Many-Splendored Thing		1955		Buddy Adler
Mister Roberts				1955		Leland Hayward
Picnic					1955		Fred Kohlmar
The Rose Tattoo				1955		Hal B. Wallis
Around the World in 80 Days		1956		Michael Todd
Friendly Persuasion			1956		William Wyler
Giant					1956		George Stevens and Henry Ginsberg
The King and I				1956		Charles Brackett
The Ten Commandments			1956		Cecil B. DeMille
The Bridge on the River Kwai		1957		Sam Spiegel
12 Angry Men				1957		Henry Fonda and Reginald Rose
Peyton Place				1957		Jerry Wald
Sayonara				1957		William Goetz
Witness for the Prosecution		1957		Arthur Hornblow Jr.
Gigi					1958		Arthur Freed
Auntie Mame				1958		Jack L. Warner
Cat on a Hot Tin Roof			1958		Lawrence Weingarten
The Defiant Ones			1958		Stanley Kramer
Separate Tables				1958		Harold Hecht
Ben-Hur					1959		Sam Zimbalist
Anatomy of a Murder			1959		Otto Preminger
The Diary of Anne Frank			1959		George Stevens
The Nun's Story				1959		Henry Blanke
Room at the Top				1959		John Woolf and James Woolf
The Apartment				1960		Billy Wilder
The Alamo				1960		John Wayne
Elmer Gantry				1960		Bernard Smith
Sons and Lovers				1960		Jerry Wald
The Sundowners				1960		Fred Zinnemann
West Side Story				1961		Robert Wise
Fanny					1961		Joshua Logan
The Guns of Navarone			1961		Carl Foreman
The Hustler				1961		Robert Rossen
Judgment at Nuremberg			1961		Stanley Kramer
Lawrence of Arabia			1962		Sam Spiegel
The Longest Day				1962		Darryl F. Zanuck
The Music Man				1962		Morton DaCosta
Mutiny on the Bounty			1962		Aaron Rosenberg
To Kill a Mockingbird			1962		Alan J. Pakula
Tom Jones				1963		Tony Richardson
America America				1963		Elia Kazan
Cleopatra				1963		Walter Wanger
How the West Was Won			1963		Bernard Smith
Lilies of the Field			1963		Ralph Nelson
My Fair Lady				1964		Jack L. Warner
Becket					1964		Hal B. Wallis
Dr. Strangelove 			1964		Stanley Kubrick
Mary Poppins				1964		Walt Disney and Bill Walsh
Zorba the Greek				1964		Michael Cacoyannis
The Sound of Music			1965		Robert Wise
Darling					1965		Joseph Janni
Doctor Zhivago				1965		Carlo Ponti
Ship of Fools				1965		Stanley Kramer
A Thousand Clowns			1965		Fred Coe
A Man for All Seasons			1966		Fred Zinnemann
Alfie					1966		Lewis Gilbert
The Russians Are Coming, the...		1966		Norman Jewison
The Sand Pebbles			1966		Robert Wise
